facility_id,facility_name,street_address,city,state_code,zip_code,county,facility_type,provider_type,ownership_type,ownership_group,fiscal_year,source_fy_end_date,total_revenue,medicare_revenue,medicaid_revenue,other_revenue,medicare_method,total_days,medicare_days,medicaid_days,chain_name,chain_confidence,federal_medicaid_share,federal_medicaid_revenue,state_medicaid_revenue,medicare_dependency,medicaid_dependency,public_dependency
444021,BEHAVORIAL HEALTH CENTERS,1400 ROSEWOOD DR,COLUMBIA,TN,38401,MAURY,PH,4,Nonprofit Church,not_for_profit,2023,2023-12-31,4929250.0,2565011.32,0.0,2364238.68,days_share,5254.0,2734.0,0.0,Unmapped / Independent,low,0.6416,0.0,0.0,0.52036543490389,0.0,0.52036543490389
444024,BEHAVIORAL HEALTH CENTERS,1505 NORTH SECOND STREET,MEMPHIS,TN,38107,SHELBY,PH,4,Nonprofit Church,not_for_profit,2023,2023-12-31,4237487.0,2349393.74,0.0,1888093.26,days_share,4841.0,2684.0,0.0,Unmapped / Independent,low,0.6416,0.0,0.0,0.5544309020889032,0.0,0.5544309020889032
444025,CRESTWYN BEHAVIORAL HEALTH,9485 CRESTWYN HILLS COVE,MEMPHIS,TN,38125-8515,,PH,4,Government City,government,2023,2023-12-31,20237336.0,1533069.57,0.0,18704266.43,days_share,24751.0,1875.0,0.0,Unmapped / Independent,low,0.6416,0.0,0.0,0.07575451482349257,0.0,0.07575451482349257
444026,ERLANGER BEHAVIORAL HEALTH,804 NORTH HOLTZCLAW AVENUE,CHATTANOOGA,TN,37404,HAMILTON,PH,4,Government City,government,2023,2023-12-31,28014321.0,3320774.07,0.0,24693546.93,days_share,29366.0,3481.0,0.0,Unmapped / Independent,low,0.6416,0.0,0.0,0.1185384457470877,0.0,0.1185384457470877
444027,CREEKSIDE BEHAVIORAL HEALTH,1025 EXECUTIVE PARK BLVD,KINGSPORT,TN,37660,SULLIVAN,PH,4,Government City,government,2023,2023-12-31,18912727.0,777937.5,0.0,18134789.5,days_share,22877.0,941.0,117.0,Unmapped / Independent,low,0.6416,0.0,0.0,0.0411330158786726,0.0,0.0411330158786726
444030,ST THOMAS ASCENSION,4220 HARDING ROAD,NASHVILLE,TN,37205,,PH,4,Government City,government,2023,2023-12-31,15217289.0,1419828.19,0.0,13797460.81,days_share,17502.0,1633.0,0.0,Ascension,keyword,0.6416,0.0,0.0,0.09330362260978285,0.0,0.09330362260978285
444031,KNOXVILLE CENTER FOR BEHAVIORAL MEDI,1240 TENNOVA MEDICAL WAY,KNOXVILLE,TN,37909,KNOX,PH,4,Nonprofit Corporation,not_for_profit,2023,2023-12-31,11904688.0,1974514.87,0.0,9930173.13,days_share,16948.0,2811.0,4656.0,Unmapped / Independent,low,0.6416,0.0,0.0,0.16586027874061043,0.0,0.16586027874061043
444032,EAST TENNESSEE BEHAVIORAL HEALTH,1444 OLD WEISGARBER ROAD,KNOXVILLE,TN,37909,KNOX,PH,4,Government City,government,2023,2023-06-30,4498551.0,346222.33,0.0,4152328.67,days_share,5769.0,444.0,114.0,Unmapped / Independent,low,0.6416,0.0,0.0,0.0769630776665642,0.0,0.0769630776665642
450010,UNITED REGIONAL HEALTH CARE SYSTEM,1600 ELEVENTH STREET,WICHITA FALLS,TX,76301,WICHITA,STH,1,Government State,government,2023,2023-12-31,447883041.0,176907432.94,49930082.0,221045526.06,anchor_plus_days_share,51693.0,20418.0,6644.0,Unmapped / Independent,low,0.5982999999999999,29873168.06,20056913.94,0.39498578143305946,0.11148017993385019,0.5064659613669096
450015,DALLAS CO. HOSP. DIST.,5200 HARRY HINES BLVD,DALLAS,TX,75235,DALLAS,STH,1,Other Proprietary,for_profit,2023,2023-09-30,1054312376.0,81460467.13,344550814.0,628301094.87,anchor_plus_days_share,163323.0,12619.0,76600.0,Unmapped / Independent,low,0.5982999999999999,206144752.02,138406061.98,0.07726407181053521,0.3268014507305755,0.4040655225411107
