fiscal_year,chain_name,medicaid_total,medicare_total,federal_medicaid_total,state_medicaid_total,private_total,private_carrier_administered_total,uninsured_other_total,total_revenue,facility_count,state_count,public_total,comprehensive_total,public_dependency,private_dependency,private_carrier_administered_dependency,comprehensive_dependency
2023,Kaiser Permanente,1050867197.0,2642848799.98,533937815.24,516929381.76,13667992265.539999,15909709503.27,5315330325.48,22677038588.0,38,4,3693715996.98,17361708262.52,0.16288352567052572,0.6027238615174684,0.7015779173074626,0.7656073871879941
2023,STANFORD HEALTH CARE,616798381.0,3068487391.16,308399190.5,308399190.5,3411854575.8,5562121426.690001,1326832335.04,8423972683.0,2,1,3685285772.16,7097140347.96,0.4374759879738323,0.40501728865827097,0.6602729657367765,0.8424932766321033
2023,NYU LANGONE HEALTH SYSTEM,992993590.0,2604394561.1699996,496496795.0,496496795.0,3524356410.36,5701518611.5,1370583048.47,8492327610.0,2,1,3597388151.1699996,7121744561.53,0.42360449530161254,0.41500476338312153,0.6713728995553906,0.8386092586847341
2017,Mayo Clinic,218878316.0,3370464131.09,114668296.54,104210019.46,2646578758.58,4664492767.67,744788692.3299999,6980709898.0,21,5,3589342447.09,6235921205.67,0.5141801477982003,0.37912745225786487,0.6681974807471078,0.8933076000560652
2014,Providence,869904055.0,2568603498.18,467392444.40999997,402511610.59000003,2888546033.68,4953705998.92,1119701287.1399999,7446754874.0,32,9,3438507553.18,6327053586.86,0.46174576864150446,0.38789326123318824,0.6652167397392971,0.8496390298746928
2023,Cleveland Clinic,745480321.0,2669563457.08,480606201.79,264874119.21,5593264392.889999,7620634535.0199995,2175158375.0299997,11183466546.0,13,2,3415043778.08,9008308170.97,0.3053654038337032,0.5001369092386249,0.6814197103979068,0.8055023130723281
2020,UPMC,847661794.0,2564160623.44,470451098.45,377210695.55,4568799527.66,6614834216.07,1776755371.9,9757377317.0,29,3,3411822417.44,7980621945.1,0.34966593036180726,0.468240530137121,0.6779315794773215,0.8179064604989283
2020,REGENTS OF THE UNIVERSITY OF CALIFORNIA,1875568155.0,1460251029.84,937784077.5,937784077.5,1677530500.7,3887344683.36,145872217.46,5159221903.0,2,1,3335819184.84,5013349685.54,0.6465740856969687,0.32515184115739326,0.753474992246326,0.9717259268543619
2022,NYU LANGONE HEALTH SYSTEM,928919804.0,2398378891.24,464459902.0,464459902.0,3008499461.11,5024297704.29,1169972012.65,7505770169.0,2,1,3327298695.24,6335798156.35,0.4432987715214438,0.4008248845049335,0.6693913604017789,0.8441236560263774
2022,Kaiser Permanente,957558977.0,2329398986.89,485787554.66,471771422.34,13552282376.72,15551621052.26,5270332035.39,22109572376.0,38,4,3286957963.89,16839240340.609999,0.1486667361987517,0.6129599499369349,0.7033885951200634,0.7616266861356866
